date,time,core #,n2o[ppm],co2[ppm],h2o[ppm],t1,t2,t3
8/05/2025,11:07:59,C24,0.34229,774.62,17969.9,22.50,22.25,21.81
8/05/2025,11:08:00,C24,0.317,702.44,15898.6,22.50,22.25,21.81
8/05/2025,11:08:01,C24,0.31111,737.87,17952.1,22.50,22.25,21.81
8/05/2025,11:08:02,C24,0.30839,716.23,15388.7,22.50,22.31,21.81
8/05/2025,11:08:03,C24,0.31135,730.3,14229.3,22.50,22.25,21.81
8/05/2025,11:08:04,C24,0.31704,747.8,13155.9,22.50,22.25,21.81
8/05/2025,11:08:05,C24,0.3215,733.97,12113.7,22.50,22.31,21.81
8/05/2025,11:08:06,C24,0.32444,698.44,11344,22.50,22.25,21.81
8/05/2025,11:08:07,C24,0.32693,667.6,10796.8,22.50,22.25,21.81
8/05/2025,11:08:08,C24,0.32826,656.17,10307.1,22.50,22.31,21.81
8/05/2025,11:08:09,C24,0.32985,660.77,9933.73,22.50,22.31,21.81
8/05/2025,11:08:10,C24,0.33098,666.12,9685.28,22.50,22.31,21.81
8/05/2025,11:08:11,C24,0.33184,668.58,9516.69,22.50,22.31,21.88
8/05/2025,11:08:12,C24,0.33208,675.45,9402.49,22.50,22.31,21.81
8/05/2025,11:08:13,C24,0.33279,677.15,9308.07,22.50,22.31,21.81
8/05/2025,11:08:14,C1,0.33365,663.88,9246,22.50,22.31,21.88
8/05/2025,11:08:15,C1,0.3339,644.02,9139.11,22.50,22.31,21.88
8/05/2025,11:08:16,C1,0.33426,626.69,9020.71,22.50,22.31,21.81
8/05/2025,11:08:17,C1,0.33455,614.25,8929.6,22.50,22.31,21.88
8/05/2025,11:08:18,C1,0.33475,605.54,8819.43,22.50,22.31,21.81
8/05/2025,11:08:19,C1,0.33512,600.15,8709.61,22.50,22.31,21.88
8/05/2025,11:08:20,C1,0.33503,596.04,8579.8,22.50,22.31,21.88
8/05/2025,11:08:21,C1,0.33487,592.79,8427.54,22.50,22.31,21.88
8/05/2025,11:08:22,C1,0.33514,591.35,8296.83,22.50,22.31,21.88
8/05/2025,11:08:23,C1,0.33545,590.4,8141.18,22.50,22.31,21.88
8/05/2025,11:08:24,C1,0.33537,589.46,7999.48,22.50,22.31,21.88
8/05/2025,11:08:25,C1,0.33555,595.46,7853.97,22.50,22.31,21.88
8/05/2025,11:08:26,C1,0.33554,625.92,7726.24,22.50,22.31,21.88
8/05/2025,11:08:27,C1,0.33524,669.83,7668.49,22.50,22.31,21.88
8/05/2025,11:08:28,C1,0.3353,709.13,7794.8,22.50,22.31,21.88
8/05/2025,11:08:29,C1,0.33569,735.93,8028.12,22.50,22.31,21.88
8/05/2025,11:08:30,C1,0.33589,753.2,8407.21,22.50,22.31,21.88
8/05/2025,11:08:31,C1,0.33583,764.32,8850.32,22.50,22.31,21.88
8/05/2025,11:08:32,C1,0.33584,771.03,9337.32,22.50,22.31,21.88
8/05/2025,11:08:33,C1,0.33571,776.11,9822.01,22.50,22.31,21.81
8/05/2025,11:08:34,C1,0.33567,778.43,10277.1,22.50,22.31,21.88
8/05/2025,11:08:35,C1,0.3358,781.39,10732.3,22.50,22.31,21.88
8/05/2025,11:08:36,C1,0.33568,782.08,11133,22.50,22.31,21.88
8/05/2025,11:08:37,C1,0.33557,782.11,11472.8,22.50,22.31,21.88
8/05/2025,11:08:38,C1,0.33604,783.85,11815.1,22.50,22.31,21.88
8/05/2025,11:08:39,C1,0.33608,783.82,12105.4,22.50,22.31,21.88
8/05/2025,11:08:40,C1,0.33608,783.97,12348.7,22.50,22.31,21.88
8/05/2025,11:08:41,C1,0.33586,783.72,12575.1,22.50,22.31,21.88
8/05/2025,11:08:42,C1,0.3361,784.73,12792.6,22.50,22.31,21.88
8/05/2025,11:08:43,C1,0.33569,782.5,12884.1,22.50,22.31,21.88
8/05/2025,11:08:44,C1,0.33577,784.35,13149.6,22.50,22.31,21.88
8/05/2025,11:08:45,C1,0.33614,784.66,13340.2,22.50,22.31,21.88
8/05/2025,11:08:46,C1,0.33591,783.78,13505.5,22.50,22.31,21.88
8/05/2025,11:08:47,C1,0.33607,785.07,13702,22.50,22.31,21.88
8/05/2025,11:08:48,C1,0.33608,784.47,13838.8,22.50,22.31,21.88
8/05/2025,11:08:49,C1,0.3361,785.22,13995.9,22.50,22.31,21.88
8/05/2025,11:08:50,C1,0.33607,784.84,14093.2,22.50,22.31,21.88
8/05/2025,11:08:51,C1,0.33597,784.3,14190.6,22.50,22.31,21.88
8/05/2025,11:08:52,C1,0.33623,785.34,14312.7,22.50,22.31,21.88
8/05/2025,11:08:53,C1,0.33601,784.9,14371.3,22.50,22.31,21.88
8/05/2025,11:08:54,C1,0.33613,784.33,14429.4,22.50,22.31,21.88
8/05/2025,11:08:55,C1,0.33617,785.47,14526,22.50,22.31,21.88
8/05/2025,11:08:56,C1,0.33624,785.35,14571,22.50,22.31,21.88
8/05/2025,11:08:57,C1,0.33629,786.35,14658.7,22.50,22.31,21.88
8/05/2025,11:08:58,C1,0.33631,785.79,14667.8,22.50,22.31,21.88
8/05/2025,11:08:59,C1,0.33617,785.98,14734.3,22.50,22.31,21.88
8/05/2025,11:09:00,C1,0.33786,791.58,14909.8,22.50,22.31,21.88
8/05/2025,11:09:01,C1,0.33684,786.41,14771.5,22.50,22.31,21.88
8/05/2025,11:09:02,C1,0.33638,786.46,14797.4,22.50,22.31,21.88
8/05/2025,11:09:03,C1,0.33649,786.69,14774.6,22.50,22.31,21.88
8/05/2025,11:09:04,C1,0.33648,786.92,14769.9,22.50,22.31,21.88
