Time,Actuator
1,F1
6,OUTW1:0
7,C24
22,C1
32,F37
42,F73
52,F38
62,F74
72,F39
82,F75
92,F40
102,F76
112,F41
122,F77
132,F42
142,F78
152,F43
162,F79
172,F44
182,F80
192,F45
202,F46
212,F82
222,F47
232,F83
242,F48
252,F84
262,F49
272,F85
282,F50
292,F86
302,F51
312,F87
322,F52
332,F88
342,F53
352,F89
362,F54
372,F90
382,F55
392,F91
402,F56
412,F92
422,F57
432,F93
442,F58
452,F94
462,F59
472,F95
482,F37
487,OUTW37:0
488,C60
503,C37
513,F1
523,F73
533,F2
543,F74
553,F3
563,F75
573,F4
583,F76
593,F5
603,F77
613,F6
623,F78
633,F7
643,F79
653,F8
663,F80
673,F9
683,F10
693,F82
703,F11
713,F83
723,F12
733,F84
743,F13
753,F85
763,F14
773,F86
783,F15
793,F87
803,F16
813,F88
823,F17
833,F89
843,F18
853,F90
863,F19
873,F91
883,F20
893,F92
903,F21
913,F93
923,F22
933,F94
943,F23
953,F95
963,F73
968,OUTW73:0
969,C96
984,C73
994,F1
1004,F37
1014,F2
1024,F38
1034,F3
1044,F39
1054,F4
1064,F40
1074,F5
1084,F41
1094,F6
1104,F42
1114,F7
1124,F43
1134,F8
1144,F44
1154,F9
1164,F45
1174,F10
1184,F46
1194,F11
1204,F47
1214,F12
1224,F48
1234,F13
1244,F49
1254,F14
1264,F50
1274,F15
1284,F51
1294,F16
1304,F52
1314,F17
1324,F53
1334,F18
1344,F54
1354,F19
1364,F55
1374,F20
1384,F56
1394,F21
1404,F57
1414,F22
1424,F58
1434,F23
1444,F59
1454,F2
1459,OUTW2:0
1460,C24
1475,C2
1485,F37
1495,F73
1505,F38
1515,F74
1525,F39
1535,F75
1545,F40
1555,F76
1565,F41
1575,F77
1585,F42
1595,F78
1605,F43
1615,F79
1625,F44
1635,F80
1645,F45
1655,F46
1665,F82
1675,F47
1685,F83
1695,F48
1705,F84
1715,F49
1725,F85
1735,F50
1745,F86
1755,F51
1765,F87
1775,F52
1785,F88
1795,F53
1805,F89
1815,F54
1825,F90
1835,F55
1845,F91
1855,F56
1865,F92
1875,F57
1885,F93
1895,F58
1905,F94
1915,F59
1925,F95
1935,F38
1940,OUTW38:0
1941,C60
1956,C38
1966,F1
1976,F73
1986,F2
1996,F74
2006,F3
2016,F75
2026,F4
2036,F76
2046,F5
2056,F77
2066,F6
2076,F78
2086,F7
2096,F79
2106,F8
2116,F80
2126,F9
2136,F10
2146,F82
2156,F11
2166,F83
2176,F12
2186,F84
2196,F13
2206,F85
2216,F14
2226,F86
2236,F15
2246,F87
2256,F16
2266,F88
2276,F17
2286,F89
2296,F18
2306,F90
2316,F19
2326,F91
2336,F20
2346,F92
2356,F21
2366,F93
2376,F22
2386,F94
2396,F23
2406,F95
2416,F74
2421,OUTW74:0
2422,C96
2437,C74
2447,F1
2457,F37
2467,F2
2477,F38
2487,F3
2497,F39
2507,F4
2517,F40
2527,F5
2537,F41
2547,F6
2557,F42
2567,F7
2577,F43
2587,F8
2597,F44
2607,F9
2617,F45
2627,F10
2637,F46
2647,F11
2657,F47
2667,F12
2677,F48
2687,F13
2697,F49
2707,F14
2717,F50
